FID,wkb_geometry,id,parkomat_id,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.673,POINT (12.55216572891828 55.69748988018159),809,1203,3332,BLÅ,IN,JAGTVEJ,129,,2000173,2010-03-01,
parkomat.674,POINT (12.55269544431609 55.69752870759466),810,1204,3332,BLÅ,IN,JAGTVEJ,92,,2000173,2010-03-01,
parkomat.675,POINT (12.553593793502596 55.69832548650879),811,1205,3332,BLÅ,IN,JAGTVEJ,106,,2000173,2010-03-01,
parkomat.676,POINT (12.553115869489893 55.69829228351244),812,1206,3332,BLÅ,IN,JAGTVEJ,137,,2000173,2010-03-01,
parkomat.677,POINT (12.554465760911356 55.698063454641634),813,1207,2404,BLÅ,IN,GULDBERGSGADE,122,,2000173,2010-03-01,
parkomat.678,POINT (12.554489682138746 55.69716767028914),814,1208,2412,BLÅ,IN,GULDBERGS PLADS,-,,2000173,2010-03-01,
parkomat.679,POINT (12.554441287083737 55.696700148267745),815,1209,2412,BLÅ,IN,GULDBERGS PLADS,6,,2000173,2010-03-01,
parkomat.680,POINT (12.553065058451551 55.6966181941022),816,1210,2404,BLÅ,IN,GULDBERGSGADE,101,,2000173,2010-03-01,
parkomat.681,POINT (12.552094724972838 55.696083315841385),817,1260,6908,BLÅ,IN,STEVNSGADE,36,,2000173,2010-03-01,
parkomat.682,POINT (12.575204587177875 55.70013277843064),818,2211,8576,BLÅ,ÅP,ØSTER ALLÉ,20,,2000173,2010-03-01,
parkomat.683,POINT (12.556491100410758 55.69539172556189),853,1244,6408,BLÅ,IN,SJÆLLANDSGADE,38,,2000173,2010-03-01,
parkomat.684,POINT (12.557935552602181 55.69609753471379),854,1245,6408,BLÅ,IN,SJÆLLANDSGADE,55,,2000173,2010-03-01,2013-01-29
parkomat.685,POINT (12.559490594946459 55.696429762256),855,1246,6408,BLÅ,IN,SJÆLLANDSGADE,,,2000173,2010-03-01,
parkomat.686,POINT (12.559785096909645 55.6970733521007),856,2247,7336,BLÅ,FP,TAGENSVEJ,14,,2000173,2010-03-01,
parkomat.687,POINT (12.558504853197709 55.69750265634913),857,2248,7336,BLÅ,FP,TAGENSVEJ,18,,2000173,2010-03-01,
parkomat.688,POINT (12.558059964364155 55.69740253006472),858,1249,7336,BLÅ,IN,TAGENSVEJ,15,,2000173,2010-03-01,
parkomat.689,POINT (12.556700278244602 55.69791044898089),859,1250,7336,BLÅ,IN,TAGENSVEJ,23,,2000173,2010-03-01,
parkomat.690,POINT (12.55693366345061 55.698081861672215),860,2253,7336,BLÅ,FP,TAGENSVEJ,22,,2000173,2010-03-01,
parkomat.691,POINT (12.555433066940816 55.698422349039944),861,1251,7336,BLÅ,IN,TAGENSVEJ,33,,2000173,2010-03-01,
parkomat.692,POINT (12.555391358182534 55.69871213014598),862,2252,7336,BLÅ,FP,TAGENSVEJ,,,2000173,2010-03-01,
parkomat.693,POINT (12.55839974539578 55.696903259530245),863,1254,1748,BLÅ,IN,FENSMARKSGADE,3,,2000173,2010-03-01,
parkomat.694,POINT (12.557325137093816 55.69664643332794),864,1255,1748,BLÅ,IN,NØDDEBOGADE,18,,2000173,2010-03-01,
parkomat.695,POINT (12.55702487612149 55.697245820864396),865,1258,0228,BLÅ,IN,ARRESØGADE,1,,2000173,2010-03-01,
parkomat.696,POINT (12.555901860374338 55.696170777714215),866,1256,1748,BLÅ,IN,FENSMARKGADE,34,,2000173,2010-03-01,
parkomat.697,POINT (12.554679405529587 55.695754650057154),867,1257,1748,BLÅ,IN,FENSMARKGADE,49,,2000173,2010-03-01,
parkomat.698,POINT (12.555953663708099 55.69728973257009),868,1259,0228,BLÅ,IN,ARRESØGADE,46,,2000173,2010-03-01,
parkomat.699,POINT (12.555786857842635 55.700169420481096),869,2261,3332,BLÅ,FP,JAGTVEJ,120,,2000173,2010-03-01,
parkomat.700,POINT (12.557067197040329 55.70131383018354),870,2262,3332,BLÅ,FP,JAGTVEJ,,,2000173,2010-03-01,
parkomat.701,POINT (12.558032878113195 55.70217694572914),871,2263,3332,BLÅ,FP,JAGTVEJ,,,2000173,2010-03-01,
parkomat.702,POINT (12.557701803085541 55.7024237376701),872,2266,3332,BLÅ,FP,JAGTVEJ,157,,2000173,2010-03-01,
parkomat.703,POINT (12.556982854412464 55.70177968164832),873,2267,3332,BLÅ,FP,JAGTVEJ,155B,,2000173,2010-03-01,
parkomat.704,POINT (12.555746569424839 55.700677260399836),874,2268,3332,BLÅ,FP,JAGTVEJ,153A,,2000173,2010-03-01,
parkomat.705,POINT (12.561106313857128 55.70491999938301),875,2269,3332,BLÅ,FP,JAGTVEJ,172,,2000173,2010-03-01,
parkomat.706,POINT (12.560090335482347 55.70401451755847),876,2270,3332,BLÅ,FP,JAGTVEJ,162,,2000173,2010-03-01,
parkomat.707,POINT (12.559601082063402 55.70411895666643),877,2271,3332,BLÅ,FP,JAGTVEJ,,,2000173,2010-03-01,
parkomat.708,POINT (12.560492189560511 55.70491243004541),878,2272,3332,BLÅ,FP,JAGTVEJ,163,,2000173,2010-03-01,
parkomat.709,POINT (12.561353205754758 55.70567944022944),879,2273,3332,BLÅ,FP,JAGTVEJ,167,,2000173,2010-03-01,
parkomat.710,POINT (12.56541067579612 55.70704926432339),880,2274,3332,BLÅ,ÅP,JAGTVEJ,179,,2000173,2010-03-01,
parkomat.711,POINT (12.566636116369121 55.707275944819),881,2275,3332,BLÅ,ÅP,JAGTVEJ,183,,2000173,2010-03-01,
parkomat.712,POINT (12.56829825925676 55.70758087245936),882,2276,3332,BLÅ,ÅP,JAGTVEJ,187,,2000173,2010-03-01,
